1	article_id	title	source_id	source
2	acm721078	An Operator Interaction Framework for Visualization Systems	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
3	acm721080	IVORY - An Object-Oriented Framework for Physics-Based Information Visualization in Java	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
4	acm721083	The Shape of Shakespeare: Visualizing Text using Implicit Surfaces	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
5	acm721210	Dynamic Aggregation with Circular Visual Designs	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
6	acm721213	Comparative Visualization of Protein Structure-Sequence Alignments	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
7	acm721216	Similarity Clustering of Dimensions for an Enhanced Visualization of Multidimensional Data	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
8	acm721217	Algorithm Visualization For Distributed Environments	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
9	acm721218	Visualizing Decision Table Classifiers	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
10	acm760271	Reconfigurable Disc Trees for Visualizing Large Hierarchical Information Space	acm647341	Proceedings of the 1998 IEEE Symposium Information Visualization
11	acm857576	IVEE: an Information Visualization and Exploration Environment	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
12	acm857577	SDM: malleable information graphics	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
13	acm857578	VRMosaic: WEB access from within a virtual environment	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
14	acm857579	Visualizing the non-visual: spatial analysis and interaction with information from text documents	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
15	acm857580	The information mural: a technique for displaying and navigating large information spaces	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
16	acm857581	Case study: 3D displays of Internet traffic	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
17	acm857582	Case study: fishing for information on the Internet	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
18	acm857583	Case study: Visualising cyberspace: information visualisation in the Harmony Internet browser	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
19	acm857584	Case study: Narcissus: visualising information	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
20	acm857585	Case study: visualizing Internet resources	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
21	acm857587	Case study: A WWW viewpoint on scientific visualization: an EPA case study for technology transfer	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
22	acm857589	Case study: an empirical investigation of thumbnail image recognition	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
23	acm857590	Towards a generative theory of diagram design	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
24	acm857591	Visualization for functional design	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
25	acm857592	Research report: improving browsing in information by the automatic display layout	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
26	acm857593	Research report: information animation applications in the capital markets	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
27	acm857597	Research report: Interacting with huge hierarchies: beyond cone trees	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
28	acm857598	Research report: DataSpace: 3-D visualizations of large databases	acm857186	Proceedings of the 1995 IEEE Symposium Information Visualization
29	acm857599	Minimally-immersive interactive volumetric information visualization	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
30	acm857600	Interactive visualization of multiway tables	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
31	acm857601	FINESSE: a financial information spreadsheet	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
32	acm857602	Animating multidimensional scaling to visualize N-dimensional data sets	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
33	acm857603	Dual multiresolution HyperSlice for multivariate data visualization	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
34	acm857604	Towards rich information landscapes for visualising structured Web spaces	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
35	acm857605	Visualizing the results of multimedia Web search engines	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
36	acm857606	Techniques for non-linear magnification transformations	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
37	acm857607	288 ways to say "this is interesting"	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
38	acm857608	Distortion viewing techniques for 3-dimensional data	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
39	acm857609	Visualizing a tennis match	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
40	acm857612	DEPICT: Documents Evaluated as Pictures. Visualizing information using context vectors and self-organizing maps	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
41	acm857613	Geospatial metadata querying and visualization on the WWW using Java/sup TM/ applets	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
42	acm857614	Visualizing usability log data	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
43	acm857615	Visualizing the global topology of the MBone	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
44	acm857617	Data characterization for automatically visualizing heterogeneous information	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
45	acm857618	Visage: a user interface environment for exploring information	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
46	acm857619	Rapid prototyping of information visualizations using VANISH	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
47	acm857620	On the semantics of interactive visualizations	acm857187	Proceedings of the 1996 IEEE Symposium on Information Visualization (INFOVIS '96) 
48	acm857624	Visualizing Information on a Sphere	acm857188	Proceedings of the 1997 IEEE Symposium on Information Visualization (InfoVis '97) 
